contrast,estimate,SE,df,t.ratio,p.value
CEACUN - UMBCAL,-0.0587,0.1288,1437,-0.4558,1
CEAPAR - CEASPI,-0.0884,0.0835,1437,-1.0588,1
CEAPAR - CERBET,-0.359,0.0838,1437,-4.2854,0.0049
CEAPAR - ERIFAS,-0.1916,0.0849,1437,-2.2577,0.8547
CEAPAR - HETARB,-0.1055,0.0792,1437,-1.3317,0.9999
CEAPAR - MALLAU,-0.0299,0.1064,1437,-0.2807,1
CEAPAR - PINJEF,0.1672,0.0773,1437,2.1636,0.8997
CEAPAR - PSEMEN,0.1413,0.1158,1437,1.2201,1
CEAPAR - QUEAGR,-0.4364,0.0764,1437,-5.7101,0
CEAPAR - QUEBER,-0.3401,0.0859,1437,-3.9613,0.0176
CEAPAR - QUEDOU,-0.1681,0.0759,1437,-2.2129,0.8774
CEAPAR - QUEDUR,-0.3205,0.0992,1437,-3.2291,0.1813
CEAPAR - QUEGAR,-0.0838,0.0985,1437,-0.8508,1
CEAPAR - QUEKEL,0.0493,0.0797,1437,0.6181,1
CEAPAR - SALLEU,0.149,0.0826,1437,1.805,0.9861
CEAPAR - SALMEL,0.1706,0.0834,1437,2.0457,0.9417
CEAPAR - UMBCAL,0.0503,0.1071,1437,0.4698,1
CEASPI - CERBET,-0.2705,0.0553,1437,-4.8927,3e-4
CEASPI - ERIFAS,-0.1032,0.057,1437,-1.8114,0.9854
CEASPI - HETARB,-0.017,0.0481,1437,-0.3539,1
CEASPI - MALLAU,0.0586,0.0858,1437,0.6827,1
CEASPI - PINJEF,0.2557,0.0449,1437,5.6972,0
CEASPI - PSEMEN,0.2297,0.0972,1437,2.3631,0.7924
CEASPI - QUEAGR,-0.3479,0.0434,1437,-8.0227,0
CEASPI - QUEBER,-0.2517,0.0584,1437,-4.3084,0.0044
CEASPI - QUEDOU,-0.0796,0.0425,1437,-1.8723,0.9782
CEASPI - QUEDUR,-0.232,0.0767,1437,-3.0233,0.2957
CEASPI - QUEGAR,0.0046,0.0758,1437,0.061,1
CEASPI - QUEKEL,0.1377,0.0489,1437,2.8147,0.4456
CEASPI - SALLEU,0.2375,0.0535,1437,4.4422,0.0025
CEASPI - SALMEL,0.2591,0.0548,1437,4.7318,7e-4
CEASPI - UMBCAL,0.1387,0.0866,1437,1.6019,0.9972
CERBET - ERIFAS,0.1674,0.0573,1437,2.9206,0.3659
CERBET - HETARB,0.2535,0.0485,1437,5.2269,1e-4
CERBET - MALLAU,0.3291,0.086,1437,3.8256,0.0288
CERBET - PINJEF,0.5262,0.0453,1437,11.613,0
CERBET - PSEMEN,0.5003,0.0974,1437,5.1351,1e-4
CERBET - QUEAGR,-0.0774,0.0438,1437,-1.7665,0.9894
CERBET - QUEBER,0.0189,0.0587,1437,0.321,1
CERBET - QUEDOU,0.1909,0.043,1437,4.4417,0.0025
CERBET - QUEDUR,0.0385,0.077,1437,0.5002,1
CERBET - QUEGAR,0.2751,0.0761,1437,3.6169,0.0586
CERBET - QUEKEL,0.4082,0.0493,1437,8.2765,0
CERBET - SALLEU,0.508,0.0538,1437,9.4381,0
CERBET - SALMEL,0.5296,0.0551,1437,9.6101,0
CERBET - UMBCAL,0.4093,0.0868,1437,4.7132,7e-4
ERIFAS - HETARB,0.0862,0.0504,1437,1.7097,0.9931
ERIFAS - MALLAU,0.1617,0.0871,1437,1.8569,0.9802
ERIFAS - PINJEF,0.3588,0.0473,1437,7.5819,0
ERIFAS - PSEMEN,0.3329,0.0984,1437,3.3841,0.1191
ERIFAS - QUEAGR,-0.2448,0.0459,1437,-5.3322,0
ERIFAS - QUEBER,-0.1485,0.0603,1437,-2.4619,0.7243
ERIFAS - QUEDOU,0.0236,0.0451,1437,0.5223,1
ERIFAS - QUEDUR,-0.1288,0.0782,1437,-1.6475,0.9959
ERIFAS - QUEGAR,0.10780000000000001,0.0773,1437,1.3946,0.9997
ERIFAS - QUEKEL,0.2409,0.0512,1437,4.7062,8e-4
ERIFAS - SALLEU,0.3407,0.0555,1437,6.1341,0
ERIFAS - SALMEL,0.3623,0.0568,1437,6.3799,0
ERIFAS - UMBCAL,0.2419,0.0879,1437,2.752,0.4951
HETARB - MALLAU,0.0756,0.0816,1437,0.9266,1
HETARB - PINJEF,0.2727,0.0362,1437,7.5374,0
HETARB - PSEMEN,0.2468,0.0935,1437,2.6385,0.5868
HETARB - QUEAGR,-0.3309,0.0343,1437,-9.6501,0
HETARB - QUEBER,-0.2346,0.052,1437,-4.5098,0.0018
HETARB - QUEDOU,-0.0626,0.0332,1437,-1.8845,0.9764
HETARB - QUEDUR,-0.215,0.072,1437,-2.9859,0.3204
HETARB - QUEGAR,0.0216,0.071,1437,0.3048,1
HETARB - QUEKEL,0.1547,0.0411,1437,3.7653,0.0356
HETARB - SALLEU,0.2545,0.0464,1437,5.4849,0
HETARB - SALMEL,0.2761,0.0479,1437,5.7661,0
