"Model","AIC","Delta_AIC","In_Sample_R2","Cross_Val_R2"
"F.Type + lfmmax + mwp + p50 + psimin + sla +      (1 | species) + F.Type x mwp + lfmmax x mwp +      mwp x p50 + mwp x sla",-153.9,7.6,0.758,0.475
"F.Type + ldmc + lfmmax + mwp + p50 + sla +      (1 | species) + F.Type x mwp + ldmc x mwp + lfmmax x mwp +      mwp x sla",-153.8,7.6,0.758,0.466
"F.Type + ldmc + lfmmax + mwp + sla + tlp +      (1 | species) + F.Type x mwp + lfmmax x mwp",-153.8,7.7,0.756,0.511
"F.Type + ldmc + lfmmax + mwp + p50 + sla +      (1 | species) + F.Type x mwp + lfmmax x mwp +      mwp x p50 + mwp x sla",-153.8,7.7,0.758,0.452
"F.Type + ldmc + lfmmax + mwp + psimin + sla +      tlp + F.Type x mwp + lfmmax x mwp +      mwp x psimin",-153.8,7.7,0.756,0.551
"F.Type + lfmmax + mwp + psimin + sla + tlp +      (1 | species) + F.Type x mwp + mwp x tlp",-153.7,7.7,0.755,0.579
"F.Type + ldmc + lfmmax + mwp + p50 + sla +      tlp + F.Type x mwp + ldmc x mwp +      mwp x sla",-153.7,7.7,0.756,0.526
"F.Type + ldmc + lfmmax + mwp + p50 + psimin +      sla + tlp + F.Type x mwp + ldmc x mwp +      lfmmax x mwp + mwp x p50 + mwp x sla",-153.7,7.8,0.757,0.491
"F.Type + ldmc + lfmmax + mwp + p50 + psimin +      sla + tlp + F.Type x mwp + lfmmax x mwp",-153.6,7.8,0.756,0.505
"F.Type + lfmmax + mwp + p50 + psimin + sla +      tlp + F.Type x mwp + lfmmax x mwp +      mwp x psimin",-153.6,7.9,0.756,0.531
"F.Type + ldmc + lfmmax + mwp + psimin + sla +      tlp + F.Type x mwp + ldmc x mwp +      lfmmax x mwp",-153.6,7.9,0.756,0.549
"F.Type + ldmc + lfmmax + mwp + psimin + sla +      tlp + F.Type x mwp + ldmc x mwp +      mwp x psimin + mwp x sla",-153.5,7.9,0.756,0.564
"F.Type + ldmc + lfmmax + mwp + psimin + sla +      (1 | species) + F.Type x mwp + lfmmax x mwp +      mwp x psimin + mwp x sla",-153.5,8,0.758,0.481
"F.Type + ldmc + lfmmax + mwp + p50 + psimin +      sla + tlp + F.Type x mwp + lfmmax x mwp +      mwp x p50 + mwp x psimin + mwp x sla + mwp x tlp",-153.5,8,0.758,0.496
"F.Type + ldmc + lfmmax + mwp + psimin + sla +      tlp + F.Type x mwp + mwp x psimin +      mwp x sla",-153.5,8,0.755,0.566
"F.Type + ldmc + lfmmax + mwp + p50 + psimin +      sla + tlp + F.Type x mwp + ldmc x mwp +      lfmmax x mwp + mwp x psimin + mwp x sla + mwp x tlp",-153.3,8.1,0.758,0.494
"F.Type + ldmc + lfmmax + mwp + psimin + sla +      tlp + F.Type x mwp + ldmc x mwp +      lfmmax x mwp + mwp x tlp",-153.3,8.2,0.756,0.543
"F.Type + lfmmax + mwp + p50 + psimin + sla +      tlp + F.Type x mwp + mwp x psimin +      mwp x sla",-153.3,8.2,0.755,0.548
"F.Type + ldmc + lfmmax + mwp + p50 + psimin +      sla + tlp + F.Type x mwp + lfmmax x mwp +      mwp x tlp",-153.3,8.2,0.756,0.504
"F.Type + ldmc + lfmmax + mwp + p50 + sla +      tlp + F.Type x mwp + ldmc x mwp +      mwp x p50 + mwp x sla + mwp x tlp",-153.2,8.2,0.757,0.504
"F.Type + ldmc + lfmmax + mwp + sla +      F.Type x mwp + ldmc x mwp + lfmmax x mwp + mwp x sla",-153.2,8.2,0.758,0.459
"F.Type + ldmc + lfmmax + mwp + sla + tlp +      (1 | species) + F.Type x mwp + lfmmax x mwp +      mwp x tlp",-153.2,8.3,0.756,0.505
"F.Type + ldmc + lfmmax + mwp + sla + tlp +      (1 | species) + F.Type x mwp + mwp x sla",-153.2,8.3,0.755,0.535
"F.Type + ldmc + lfmmax + mwp + p50 + sla +      tlp + F.Type x mwp + lfmmax x mwp +      mwp x p50 + mwp x tlp",-153.2,8.3,0.757,0.484
"F.Type + ldmc + lfmmax + mwp + psimin + sla +      (1 | species) + F.Type x mwp + ldmc x mwp + lfmmax x mwp +      mwp x sla",-153.2,8.3,0.757,0.485
"F.Type + ldmc + lfmmax + mwp + p50 + psimin +      sla + tlp + F.Type x mwp + mwp x p50 +      mwp x sla + mwp x tlp",-153.1,8.3,0.757,0.504
"F.Type + ldmc + lfmmax + mwp + p50 + sla +      tlp + F.Type x mwp + lfmmax x mwp +      mwp x p50",-153.1,8.4,0.756,0.485
"F.Type + lfmmax + mwp + psimin + sla + (1 |      species) + F.Type x mwp + lfmmax x mwp",-153.1,8.4,0.756,0.486
"F.Type + lfmmax + mwp + psimin + tlp + (1 |      species) + F.Type x mwp + lfmmax x mwp + mwp x psimin +      mwp x tlp",-153.1,8.4,0.757,0.528
"F.Type + ldmc + lfmmax + mwp + p50 + tlp +      (1 | species) + F.Type x mwp + lfmmax x mwp",-153.1,8.4,0.756,0.465
"F.Type + ldmc + lfmmax + mwp + tlp +      F.Type x mwp + lfmmax x mwp",-153.1,8.4,0.756,0.483
"F.Type + lfmmax + mwp + p50 + psimin + sla +      tlp + F.Type x mwp + mwp x psimin +      mwp x tlp",-153.1,8.4,0.756,0.528
"F.Type + lfmmax + mwp + p50 + psimin + tlp +      (1 | species) + F.Type x mwp + lfmmax x mwp",-153,8.4,0.756,0.486
"F.Type + ldmc + lfmmax + mwp + p50 + psimin +      sla + tlp + F.Type x mwp + ldmc x mwp +      mwp x sla",-153,8.5,0.756,0.521
"F.Type + ldmc + lfmmax + mwp + psimin + sla +      tlp + F.Type x mwp + mwp x psimin +      mwp x tlp",-153,8.5,0.756,0.542
"F.Type + ldmc + lfmmax + mwp + p50 + sla +      tlp + F.Type x mwp + mwp x sla",-153,8.5,0.755,0.524
"F.Type + lfmmax + mwp + p50 + psimin + sla +      tlp + F.Type x mwp + mwp x p50 +      mwp x sla",-152.9,8.6,0.755,0.549
"F.Type + lfmmax + mwp + sla +      F.Type x mwp + lfmmax x mwp",-152.9,8.6,0.756,0.456
"F.Type + ldmc + lfmmax + mwp + p50 + sla +      tlp + F.Type x mwp + ldmc x mwp +      lfmmax x mwp + mwp x p50 + mwp x sla + mwp x tlp",-152.9,8.6,0.758,0.462
"F.Type + lfmmax + mwp + p50 + sla + tlp +      (1 | species) + F.Type x mwp + mwp x tlp",-152.9,8.6,0.755,0.54
"F.Type + ldmc + lfmmax + mwp + psimin + sla +      tlp + F.Type x mwp + ldmc x mwp +      mwp x tlp",-152.8,8.7,0.755,0.549
"F.Type + lfmmax + mwp + p50 + psimin + tlp +      (1 | species) + F.Type x mwp + lfmmax x mwp +      mwp x tlp",-152.8,8.7,0.756,0.484
