species,mwp,ilfm,study,intercept,slope,min_lfm,max_lfm,min_wp,max_wp,min_ilfm,intercept_lfm,maxlfm_minwp,sp_code,max_rooting_depth_m,plc50_stem,psi_tlp,ldmc,sla,sla_try_units,swc,lma,psimin_pd,psimin_md,functional_type,growth_form,leaf_habit,rwc_at_tlp,reference_if_not_try_p50,reference_if_not_try_trait,swc_g_calc,sla_calc,min_pd,max_pd,psi_z,sla_z
ABICON,-1.805,0.564700022228287,SEKI,1.0250286473402828,0.13666254940116962,0.8471023191,2.678534393,-2.394,-0.765,1.180494938394745,0.9755824899087197,5.072534393,ABICON,NA,-3.8,-2.11,0.4028,37.689,4.60264848,1.0711,NA,NA,-3.28,gymnosperm,tree,NA,89.403,"Boving et al. 2026, Boving et al., 2025, Mencucinni et al 2021,","P50, TLP, SLA, RWCtlp, SWC;  Psimin_md",0.5972,NA,-2.2755,-0.43,0.753913898708014,-0.9688771115408973
ABICON,-1.9645,0.5464405770090749,SEKI,1.0250286473402828,0.13666254940116962,0.8471023191,2.678534393,-2.394,-0.765,1.180494938394745,0.9755824899087197,5.072534393,ABICON,NA,-3.8,-2.11,0.4028,37.689,4.60264848,1.0711,NA,NA,-3.28,gymnosperm,tree,NA,89.403,"Boving et al. 2026, Boving et al., 2025, Mencucinni et al 2021,","P50, TLP, SLA, RWCtlp, SWC;  Psimin_md",0.5972,NA,-2.2755,-0.43,0.6376981120070958,-0.9688771115408973
ABICON,-2.0355,0.5995225150890374,SEKI,1.0250286473402828,0.13666254940116962,0.8471023191,2.678534393,-2.394,-0.765,1.180494938394745,0.9755824899087197,5.072534393,ABICON,NA,-3.8,-2.11,0.4028,37.689,4.60264848,1.0711,NA,NA,-3.28,gymnosperm,tree,NA,89.403,"Boving et al. 2026, Boving et al., 2025, Mencucinni et al 2021,","P50, TLP, SLA, RWCtlp, SWC;  Psimin_md",0.5972,NA,-2.2755,-0.43,0.5859656928486934,-0.9688771115408973
ABICON,-1.8,0.5756711129219934,SEKI,1.0250286473402828,0.13666254940116962,0.8471023191,2.678534393,-2.394,-0.765,1.180494938394745,0.9755824899087197,5.072534393,ABICON,NA,-3.8,-2.11,0.4028,37.689,4.60264848,1.0711,NA,NA,-3.28,gymnosperm,tree,NA,89.403,"Boving et al. 2026, Boving et al., 2025, Mencucinni et al 2021,","P50, TLP, SLA, RWCtlp, SWC;  Psimin_md",0.5972,NA,-2.2755,-0.43,0.7575570268177605,-0.9688771115408973
ABICON,-2.3265,0.5812617667725757,SEKI,1.0250286473402828,0.13666254940116962,0.8471023191,2.678534393,-2.394,-0.765,1.180494938394745,0.9755824899087197,5.072534393,ABICON,NA,-3.8,-2.11,0.4028,37.689,4.60264848,1.0711,NA,NA,-3.28,gymnosperm,tree,NA,89.403,"Boving et al. 2026, Boving et al., 2025, Mencucinni et al 2021,","P50, TLP, SLA, RWCtlp, SWC;  Psimin_md",0.5972,NA,-2.2755,-0.43,0.37393563686143844,-0.9688771115408973
ABICON,-2.265,0.6248537393136381,SEKI,1.0250286473402828,0.13666254940116962,0.8471023191,2.678534393,-2.394,-0.765,1.180494938394745,0.9755824899087197,5.072534393,ABICON,NA,-3.8,-2.11,0.4028,37.689,4.60264848,1.0711,NA,NA,-3.28,gymnosperm,tree,NA,89.403,"Boving et al. 2026, Boving et al., 2025, Mencucinni et al 2021,","P50, TLP, SLA, RWCtlp, SWC;  Psimin_md",0.5972,NA,-2.2755,-0.43,0.418746112611322,-0.9688771115408973
ABICON,-1.925,0.55940077955139,SEKI,1.0250286473402828,0.13666254940116962,0.8471023191,2.678534393,-2.394,-0.765,1.180494938394745,0.9755824899087197,5.072534393,ABICON,NA,-3.8,-2.11,0.4028,37.689,4.60264848,1.0711,NA,NA,-3.28,gymnosperm,tree,NA,89.403,"Boving et al. 2026, Boving et al., 2025, Mencucinni et al 2021,","P50, TLP, SLA, RWCtlp, SWC;  Psimin_md",0.5972,NA,-2.2755,-0.43,0.6664788240740943,-0.9688771115408973
ABICON,-2.2285,0.5832385828233286,SEKI,1.0250286473402828,0.13666254940116962,0.8471023191,2.678534393,-2.394,-0.765,1.180494938394745,0.9755824899087197,5.072534393,ABICON,NA,-3.8,-2.11,0.4028,37.689,4.60264848,1.0711,NA,NA,-3.28,gymnosperm,tree,NA,89.403,"Boving et al. 2026, Boving et al., 2025, Mencucinni et al 2021,","P50, TLP, SLA, RWCtlp, SWC;  Psimin_md",0.5972,NA,-2.2755,-0.43,0.4453409478124727,-0.9688771115408973
ABICON,-2.202,0.62195012103451,SEKI,1.0250286473402828,0.13666254940116962,0.8471023191,2.678534393,-2.394,-0.765,1.180494938394745,0.9755824899087197,5.072534393,ABICON,NA,-3.8,-2.11,0.4028,37.689,4.60264848,1.0711,NA,NA,-3.28,gymnosperm,tree,NA,89.403,"Boving et al. 2026, Boving et al., 2025, Mencucinni et al 2021,","P50, TLP, SLA, RWCtlp, SWC;  Psimin_md",0.5972,NA,-2.2755,-0.43,0.4646495267941299,-0.9688771115408973
ABICON,-1.445,0.572415844511561,SEKI,1.0250286473402828,0.13666254940116962,0.8471023191,2.678534393,-2.394,-0.765,1.180494938394745,0.9755824899087197,5.072534393,ABICON,NA,-3.8,-2.11,0.4028,37.689,4.60264848,1.0711,NA,NA,-3.28,gymnosperm,tree,NA,89.403,"Boving et al. 2026, Boving et al., 2025, Mencucinni et al 2021,","P50, TLP, SLA, RWCtlp, SWC;  Psimin_md",0.5972,NA,-2.2755,-0.43,1.0162191226097728,-0.9688771115408973
