"","Species","date","wp","time","lfm","study","tissue_age","Sp.Site"
"147","QUEGAR",2022-06-16,-1.56,"md",0.94005994,"Pepperwood",NA,"QUEGAR_Pepperwood"
"148","QUEDUR",2022-06-17,-0.28,"pd",0.953642384,"Pepperwood",NA,"QUEDUR_Pepperwood"
"149","QUEDUR",2022-06-17,-0.23,"md",0.953642384,"Pepperwood",NA,"QUEDUR_Pepperwood"
"150","HETARB",2022-06-17,-0.6,"pd",1.381935484,"Pepperwood",NA,"HETARB_Pepperwood"
"151","HETARB",2022-06-17,-1.59,"md",1.381935484,"Pepperwood",NA,"HETARB_Pepperwood"
"152","ADEFAS",2022-06-17,-0.45,"pd",1.233128834,"Pepperwood",NA,"ADEFAS_Pepperwood"
"153","ADEFAS",2022-06-17,-0.96,"md",1.233128834,"Pepperwood",NA,"ADEFAS_Pepperwood"
"154","HETARB",2022-06-17,-0.53,"pd",1.443365696,"Pepperwood",NA,"HETARB_Pepperwood"
"155","HETARB",2022-06-17,-0.83,"md",1.443365696,"Pepperwood",NA,"HETARB_Pepperwood"
"156","ADEFAS",2022-06-17,-0.45,"pd",0.963882619,"Pepperwood",NA,"ADEFAS_Pepperwood"
"157","ADEFAS",2022-06-17,-0.64,"md",0.963882619,"Pepperwood",NA,"ADEFAS_Pepperwood"
"158","HETARB",2022-06-17,-0.4,"pd",1.57837181,"Pepperwood",NA,"HETARB_Pepperwood"
"159","HETARB",2022-06-17,-1.25,"md",1.57837181,"Pepperwood",NA,"HETARB_Pepperwood"
"160","HETARB",2022-06-17,-0.5,"pd",1.902158273,"Pepperwood",NA,"HETARB_Pepperwood"
"161","HETARB",2022-06-17,-1.4,"md",1.902158273,"Pepperwood",NA,"HETARB_Pepperwood"
"162","ADEFAS",2022-06-17,-0.7,"pd",1.082706767,"Pepperwood",NA,"ADEFAS_Pepperwood"
"163","ADEFAS",2022-06-17,-1.13,"md",1.082706767,"Pepperwood",NA,"ADEFAS_Pepperwood"
"164","ADEFAS",2022-06-17,-0.63,"pd",1.142307692,"Pepperwood",NA,"ADEFAS_Pepperwood"
"165","ADEFAS",2022-06-17,-0.9,"md",1.142307692,"Pepperwood",NA,"ADEFAS_Pepperwood"
"166","QUEAGR",2022-06-16,-0.25,"pd",1.155672823,"Pepperwood",NA,"QUEAGR_Pepperwood"
"167","QUEAGR",2022-06-16,-1.48,"md",1.155672823,"Pepperwood",NA,"QUEAGR_Pepperwood"
"168","CEACUN",2022-06-16,-1.58,"md",1.322946176,"Pepperwood",NA,"CEACUN_Pepperwood"
"169","CEACUN",2022-06-16,-2.45,"md",1.163978495,"Pepperwood",NA,"CEACUN_Pepperwood"
"170","CEACUN",2022-06-16,-2.73,"md",1.225705329,"Pepperwood",NA,"CEACUN_Pepperwood"
"171","ADEFAS",2022-06-16,-2.55,"md",0.864150943,"Pepperwood",NA,"ADEFAS_Pepperwood"
"172","ADEFAS",2022-06-16,-2.05,"md",0.816777042,"Pepperwood",NA,"ADEFAS_Pepperwood"
"173","CEAPAR",2022-06-16,-0.9,"md",1.658682635,"Pepperwood",NA,"CEAPAR_Pepperwood"
"174","CEAPAR",2022-06-16,-2.1,"md",1.338078292,"Pepperwood",NA,"CEAPAR_Pepperwood"
"175","CEAPAR",2022-06-16,-2.68,"md",1.077777778,"Pepperwood",NA,"CEAPAR_Pepperwood"
"176","QUEAGR",2022-06-17,-0.3,"pd",1.066365008,"Pepperwood",NA,"QUEAGR_Pepperwood"
"177","QUEAGR",2022-06-17,-1.68,"md",1.066365008,"Pepperwood",NA,"QUEAGR_Pepperwood"
"178","QUEDOU",2022-06-17,-0.22,"pd",1.031869078,"Pepperwood",NA,"QUEDOU_Pepperwood"
"179","QUEDOU",2022-06-17,-1.66,"md",1.031869078,"Pepperwood",NA,"QUEDOU_Pepperwood"
"180","QUEKEL",2022-06-17,-0.43,"pd",0.993553009,"Pepperwood",NA,"QUEKEL_Pepperwood"
"181","QUEKEL",2022-06-17,-0.61,"md",0.993553009,"Pepperwood",NA,"QUEKEL_Pepperwood"
"182","QUEAGR",2022-06-17,-0.3,"pd",1.051075269,"Pepperwood",NA,"QUEAGR_Pepperwood"
"183","QUEAGR",2022-06-17,-1.42,"md",1.051075269,"Pepperwood",NA,"QUEAGR_Pepperwood"
"184","QUEKEL",2022-06-17,-0.5,"pd",1.114448052,"Pepperwood",NA,"QUEKEL_Pepperwood"
"185","QUEKEL",2022-06-17,-1.32,"md",1.114448052,"Pepperwood",NA,"QUEKEL_Pepperwood"
"186","QUEGAR",2022-06-17,-0.37,"pd",1.079819277,"Pepperwood",NA,"QUEGAR_Pepperwood"
"187","QUEGAR",2022-06-17,-2.25,"md",1.079819277,"Pepperwood",NA,"QUEGAR_Pepperwood"
"188","QUEGAR",2022-06-17,-0.24,"pd",0.9348659,"Pepperwood",NA,"QUEGAR_Pepperwood"
