x1,species,date,mwp,lfm,study,tissue_age,sp_site,ilfm,study_nice
130,PSEMEN,2022-06-16,-1.83,1.170391061,Pepperwood,both,PSEMEN_Pepperwood,0.854415274793354,PwD
131,QUEGAR,2022-06-16,-2.63,1.067497404,Pepperwood,both,QUEGAR_Pepperwood,0.9367704279681789,PwD
132,QUEGAR,2022-06-16,-2.9,1.121590909,Pepperwood,both,QUEGAR_Pepperwood,0.8915906788969881,PwD
133,PSEMEN,2022-06-16,-1.93,1.245517241,Pepperwood,both,PSEMEN_Pepperwood,0.8028792914958935,PwD
134,PSEMEN,2022-06-16,-1.83,1.154711674,Pepperwood,both,PSEMEN_Pepperwood,0.8660170521494182,PwD
135,UMBCAL,2022-06-16,-1,1.269083969,Pepperwood,both,UMBCAL_Pepperwood,0.7879699251011498,PwD
136,ARBMEN,2022-06-16,-1.12,1.489925769,Pepperwood,both,ARBMEN_Pepperwood,0.6711743771444226,PwD
137,ARBMEN,2022-06-16,-1.75,1.551724138,Pepperwood,both,ARBMEN_Pepperwood,0.6444444444158025,PwD
138,QUEDUR,2022-06-17,-0.77,1.379844961,Pepperwood,both,QUEDUR_Pepperwood,0.7247191012498105,PwD
139,QUEDUR,2022-06-17,-0.42,1.13028169,Pepperwood,both,QUEDUR_Pepperwood,0.8847352026024593,PwD
140,HETARB,2022-06-17,-1.11,1.231923602,Pepperwood,both,HETARB_Pepperwood,0.8117386487088345,PwD
141,QUEDUR,2022-06-17,-0.45,1.058282209,Pepperwood,both,QUEDUR_Pepperwood,0.9449275358648688,PwD
142,QUEDUR,2022-06-17,-0.73,0.993569132,Pepperwood,both,QUEDUR_Pepperwood,1.0064724917400112,PwD
143,HETARB,2022-06-17,-1.25,1.624203822,Pepperwood,both,HETARB_Pepperwood,0.6156862743794234,PwD
144,ADEFAS,2022-06-17,-0.79,0.922178988,Pepperwood,both,ADEFAS_Pepperwood,1.0843881860383486,PwD
145,QUEDUR,2022-06-17,-0.63,1.11722488,Pepperwood,both,QUEDUR_Pepperwood,0.8950749467734732,PwD
146,ADEFAS,2022-06-17,-1.03,1.025316456,Pepperwood,both,ADEFAS_Pepperwood,0.9753086416863282,PwD
148,ADEFAS,2015-08-17,-4.27,0.6342,StuntRanch,both,ADEFAS_StuntRanch,1.576789656259855,StR
149,ADEFAS,2015-08-17,-4.27,0.6287,StuntRanch,both,ADEFAS_StuntRanch,1.5905837442341337,StR
150,ADEFAS,2015-08-17,-5.38,0.7352,StuntRanch,both,ADEFAS_StuntRanch,1.3601741022850926,StR
151,ADEFAS,2015-08-17,-5.38,0.5021,StuntRanch,both,ADEFAS_StuntRanch,1.9916351324437362,StR
152,ADEFAS,2015-08-17,-5.52,0.6214,StuntRanch,both,ADEFAS_StuntRanch,1.60926939169617,StR
153,CERBET,2015-08-17,-4.96,0.6082,StuntRanch,both,CERBET_StuntRanch,1.644195988161789,StR
154,CERBET,2015-08-17,-5.1,0.6351,StuntRanch,both,CERBET_StuntRanch,1.574555188159345,StR
155,CEASPI,2015-08-17,-4.83,0.7602,StuntRanch,both,CEASPI_StuntRanch,1.3154433043935807,StR
156,CEASPI,2015-08-17,-4.9,0.7729,StuntRanch,both,CEASPI_StuntRanch,1.2938284383490748,StR
157,CEASPI,2015-08-17,-4.96,0.8172,StuntRanch,both,CEASPI_StuntRanch,1.2236906510034262,StR
158,HETARB,2015-08-17,-3.31,0.8876,StuntRanch,both,HETARB_StuntRanch,1.1266336187471835,StR
159,HETARB,2015-08-17,-3.45,0.872,StuntRanch,both,HETARB_StuntRanch,1.146788990825688,StR
160,HETARB,2015-08-17,-3.86,0.8975,StuntRanch,both,HETARB_StuntRanch,1.1142061281337048,StR
161,HETARB,2015-08-17,-3.86,0.9041,StuntRanch,both,HETARB_StuntRanch,1.1060723371308483,StR
162,MALLAU,2015-08-17,-1.79,1.196,StuntRanch,both,MALLAU_StuntRanch,0.8361204013377926,StR
163,MALLAU,2015-08-17,-1.86,1.1863,StuntRanch,both,MALLAU_StuntRanch,0.8429570934839418,StR
164,MALLAU,2015-08-17,-1.93,1.2293,StuntRanch,both,MALLAU_StuntRanch,0.8134710811030668,StR
165,QUEAGR,2015-08-17,-2.62,0.7451,StuntRanch,both,QUEAGR_StuntRanch,1.3421017313112333,StR
166,QUEAGR,2015-08-17,-2.76,0.7557,StuntRanch,both,QUEAGR_StuntRanch,1.323276432446738,StR
167,QUEAGR,2015-08-17,-2.93,0.7547,StuntRanch,both,QUEAGR_StuntRanch,1.3250298131707963,StR
168,QUEBER,2015-08-17,-3.86,0.6724,StuntRanch,both,QUEBER_StuntRanch,1.48720999405116,StR
169,QUEBER,2015-08-17,-4,0.6312,StuntRanch,both,QUEBER_StuntRanch,1.5842839036755387,StR
170,QUEBER,2015-08-17,-4.27,0.6806,StuntRanch,both,QUEBER_StuntRanch,1.4692918013517484,StR
171,QUEBER,2015-08-17,-4.27,0.6582,StuntRanch,both,QUEBER_StuntRanch,1.5192950470981463,StR
172,ADEFAS,2015-09-16,-3.45,0.5811,StuntRanch,both,ADEFAS_StuntRanch,1.7208742040956808,StR
173,ADEFAS,2015-09-16,-4.34,0.554,StuntRanch,both,ADEFAS_StuntRanch,1.8050541516245486,StR
174,ADEFAS,2015-09-16,-4.48,0.5453,StuntRanch,both,ADEFAS_StuntRanch,1.8338529249954154,StR
175,ADEFAS,2015-09-16,-4.83,0.5725,StuntRanch,both,ADEFAS_StuntRanch,1.7467248908296944,StR
176,CERBET,2015-09-16,-1.72,0.6515,StuntRanch,both,CERBET_StuntRanch,1.5349194167306217,StR
177,CERBET,2015-09-16,-2.07,0.6647,StuntRanch,both,CERBET_StuntRanch,1.504438092372499,StR
178,CERBET,2015-09-16,-2.76,0.5733,StuntRanch,both,CERBET_StuntRanch,1.7442874585731727,StR
179,CERBET,2015-09-16,-3.03,0.6379,StuntRanch,both,CERBET_StuntRanch,1.5676438313215237,StR
180,CERBET,2015-09-16,-3.31,0.5744,StuntRanch,both,CERBET_StuntRanch,1.7409470752089136,StR
181,CEASPI,2015-09-16,-2.28,0.6753,StuntRanch,both,CEASPI_StuntRanch,1.4808233377758033,StR
182,CEASPI,2015-09-16,-2.69,0.7294,StuntRanch,both,CEASPI_StuntRanch,1.3709898546750754,StR
183,CEASPI,2015-09-16,-2.76,0.7326,StuntRanch,both,CEASPI_StuntRanch,1.365001365001365,StR
184,CEASPI,2015-09-16,-3,0.712,StuntRanch,both,CEASPI_StuntRanch,1.404494382022472,StR
185,CEASPI,2015-09-16,-5.1,0.6973,StuntRanch,both,CEASPI_StuntRanch,1.434102968593145,StR
186,ERIFAS,2015-09-16,-2.21,0.6202,StuntRanch,both,ERIFAS_StuntRanch,1.6123831022250887,StR
187,ERIFAS,2015-09-16,-2.9,0.606,StuntRanch,both,ERIFAS_StuntRanch,1.6501650165016502,StR
188,ERIFAS,2015-09-16,-2.96,0.6541,StuntRanch,both,ERIFAS_StuntRanch,1.5288182235132242,StR
189,ERIFAS,2015-09-16,-3.31,0.6045,StuntRanch,both,ERIFAS_StuntRanch,1.6542597187758477,StR
190,ERIFAS,2015-09-16,-3.31,0.6415,StuntRanch,both,ERIFAS_StuntRanch,1.558846453624318,StR
191,HETARB,2015-09-16,-2.76,0.7372,StuntRanch,both,HETARB_StuntRanch,1.3564839934888768,StR
192,HETARB,2015-09-16,-2.9,0.8057,StuntRanch,both,HETARB_StuntRanch,1.2411567580985479,StR
193,HETARB,2015-09-16,-2.9,0.7602,StuntRanch,both,HETARB_StuntRanch,1.3154433043935807,StR
194,HETARB,2015-09-16,-2.96,0.767,StuntRanch,both,HETARB_StuntRanch,1.303780964797914,StR
